group,participant_id,correct,rt_raw,rt_adj,speaker_variety,sentence_type,sentence,familiar_with_fall,learner,two_langs,eq_score,exp_time,lextale_avg,lextale_tra
1,55885869fdf99b4020ba0b64,1,1.648,0.498,mexican,interrogative-total-yn,Marta abre el regalo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,2.114,0.704,castilian,declarative-broad-focus,El nino oye el rio,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.788,0.688,mexican,declarative-broad-focus,David leia el libro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.847,0.7070000000000001,puertorican,declarative-broad-focus,El nino oye el rio,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.796,0.5760000000000001,mexican,declarative-broad-focus,Mariano habla del tiempo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.847,0.40700000000000003,castilian,interrogative-total-yn,Emilio ama la marcha,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.691,0.5610000000000002,puertorican,interrogative-total-yn,El nino oye el rio,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,1.835,0.585,cuban,interrogative-total-yn,Marta abre el regalo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.883,0.4930000000000001,cuban,declarative-broad-focus,Manuela vende el carro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.701,0.4910000000000001,mexican,interrogative-total-yn,David leia el libro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,2.239,0.7089999999999999,castilian,declarative-broad-focus,Manuela vende el carro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.89,0.8999999999999999,puertorican,interrogative-total-yn,David leia el libro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.692,0.44199999999999995,cuban,declarative-broad-focus,Maria bebe el vino,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.79,0.5700000000000001,cuban,declarative-broad-focus,La nina lava el plato,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,1.865,0.5049999999999999,castilian,declarative-broad-focus,Maria bebe el vino,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,2.092,0.8420000000000001,puertorican,interrogative-total-yn,Mi madre come la fruta,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.574,0.484,mexican,declarative-broad-focus,Ana lleva el abrigo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,1.915,0.7850000000000001,puertorican,declarative-broad-focus,Maria bebe el vino,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.642,0.482,puertorican,interrogative-total-yn,Manuela vende el carro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,2.364,0.7839999999999998,castilian,interrogative-total-yn,Mariano habla del tiempo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,2.03,0.8299999999999998,puertorican,interrogative-total-yn,Emilio ama la marcha,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.934,0.42399999999999993,castilian,declarative-broad-focus,Mi novio viene del lago,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,1.523,0.393,cuban,interrogative-total-yn,Ana lleva el abrigo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,1.763,0.5329999999999999,mexican,interrogative-total-yn,Emilio ama la marcha,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.794,0.3440000000000001,castilian,interrogative-total-yn,La nina lava el plato,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.805,0.31499999999999995,castilian,interrogative-total-yn,Manuela vende el carro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,2.047,0.8370000000000002,puertorican,declarative-broad-focus,La maestra vive en Paris,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,2.164,0.554,castilian,declarative-broad-focus,Mariano habla del tiempo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.942,0.752,puertorican,declarative-broad-focus,El bebe comia muy bien,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.581,0.2609999999999999,cuban,declarative-broad-focus,El bebe comia muy bien,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.957,0.7670000000000001,puertorican,declarative-broad-focus,El hombre mira la luna,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.963,0.633,cuban,interrogative-total-yn,Maria bebe el vino,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,2.008,0.8680000000000001,puertorican,interrogative-total-yn,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
