participant_id,monolingual,age,sex,group,two_langs
5f24b0fc546c5a0c3c2e43b6,I was raised with my native language only,42,Female,0,"no, only English or Spanish"
6108c4f7300885ce920eb3c5,I was raised with my native language only,26,Female,0,"no, only English or Spanish"
5f0527d40807f31c712153eb,I was raised with my native language only,24,Male,0,click here to respond
6629590de0554e4996934b9e,I was raised with my native language only,42,Female,0,"no, only English or Spanish"
5b26ed8a8ecf3f0001619040,I was raised with my native language only,41,Male,0,"no, only English or Spanish"
66b2385b08ab5b8fafdc94e3,I was raised with my native language only,35,Female,0,"no, only English or Spanish"
5a6c9c583fb6420001c308d7,I was raised with my native language only,36,Male,0,"no, only English or Spanish"
60f5d5e358c70ad7a534bc50,I was raised with my native language only,35,Female,0,"no, only English or Spanish"
667186a182a98857032a4dae,I was raised with my native language only,44,Male,0,"no, only English or Spanish"
614ee347a57616853a7b1356,I was raised with my native language only,49,Female,0,"no, only English or Spanish"
63626a68cf44b4184483c8e8,I was raised with my native language only,31,Female,0,"no, only English or Spanish"
5fc43dcde1880f139efc0b0a,I was raised with my native language only,52,Female,0,"no, only English or Spanish"
6711e09a6906af2fa5b782bd,I was raised with my native language only,33,Female,0,"yes, I am fluent in another language"
665fa1e8b8211326822c59a7,I was raised with my native language only,30,Male,0,"no, only English or Spanish"
5c376ea0eecc440001c58889,I was raised with my native language only,46,Male,0,"no, only English or Spanish"
62b20c0065e9809e66d13fa5,I was raised with my native language only,26,Male,0,"no, only English or Spanish"
5c6c597c42e33400019c72a5,I was raised with my native language only,63,Female,0,"no, only English or Spanish"
6685c283c7d2e84750290782,I was raised with my native language only,38,Male,0,"no, only English or Spanish"
667f1755b464b48413d1f6ea,I was raised with my native language only,42,Male,0,"no, only English or Spanish"
67841f3e989c0c31c093bc05,I was raised with my native language only,19,Female,0,"no, only English or Spanish"
6658d49af0f0787f8c8132b9,I was raised with my native language only,39,Female,0,"no, only English or Spanish"
5dd14dd31e70da1d0ee5bab8,I was raised with my native language only,56,Female,0,"no, only English or Spanish"
6654ea31b450c037ef242412,I was raised with my native language only,35,Female,0,"no, only English or Spanish"
6785891aee9028790a1bd6fc,I was raised with my native language only,20,Female,0,click here to respond
671ad1c838354923130def37,I was raised with my native language only,26,Female,0,"no, only English or Spanish"
6679f7b02d9db76da6adb38c,I was raised with my native language only,57,Female,0,"no, only English or Spanish"
67478b43d90864464fd088bb,I was raised with my native language only,41,Female,0,"no, only English or Spanish"
66f0a1d13629250f84bc2598,I was raised with my native language only,21,Male,0,"no, only English or Spanish"
6740e1e09ca406ab781318cb,I was raised with my native language only,47,Male,0,"no, only English or Spanish"
67924313eb24f3a077d26376,I was raised with my native language only,53,Female,0,"no, only English or Spanish"
5e51fbbc31127d237d48c881,I was raised with my native language only,33,Female,0,"no, only English or Spanish"
5b406fc7c2e38100017613c4,I was raised with my native language only,31,Male,0,"no, only English or Spanish"
5ffe516acbc37a4ae7eac4a1,I was raised with my native language only,32,Female,0,"no, only English or Spanish"
65bbdbd7bc3559a97b37263d,I was raised with my native language only,42,Female,0,"no, only English or Spanish"
5ee8f92c564e6212704b2315,I was raised with my native language only,35,Male,0,"no, only English or Spanish"
5589be79fdf99b18be320155,I was raised with my native language only,39,Male,0,"no, only English or Spanish"
