Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Were you raised monolingual?,U.s state/territory of birth,Current u.s state of residence,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
687d5b5529798f9c7bbe4919,5efe8c25e921d23a9daec079,RETURNED,Not Applicable,2025-07-20T21:11:01.720000Z,,,,,,2280,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5b72869c9d61b23a5382,6745731e75a88802a56be3ef,RETURNED,Not Applicable,2025-07-20T21:13:54.893000Z,,,,,,1759,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5ba6836b825c25605078,5f15076a6b42b74b6ba223a8,RETURNED,Not Applicable,2025-07-20T21:12:10.346000Z,,,,,,3062,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5bb96d876e34161d904a,5ba292385301b80001c71ba2,RETURNED,Not Applicable,2025-07-20T21:12:31.749000Z,,,,,,15427,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5be7cc03fc8370c24907,5c3164e528d82100018160c8,RETURNED,Not Applicable,2025-07-20T21:22:43.318000Z,,,,,,4793,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5c1913369c19b6b3a416,6715ae375af67cf364ef48dc,RETURNED,Not Applicable,2025-07-20T21:14:10.089000Z,,,,,,1703,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5c9f42cb4b3213c72d9b,5ea8154dcfd4dd20473ed88e,RETURNED,Not Applicable,2025-07-20T21:16:19.079000Z,,,,,,9754,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5cce68a24c2f2c237707,612cd21ab53f52338b7b4f19,RETURNED,Not Applicable,,,,,,,5166,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5d28aed5692ceb2330c1,5a9c8551f053610001720820,RETURNED,Not Applicable,2025-07-20T21:18:36.902000Z,,,,,,6047,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5d3cc7b141b6c9c54f0f,5f2b72680c610f5e140b6025,RETURNED,Not Applicable,2025-07-20T21:18:56.148000Z,,,,,,2565,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
